ID,POS,Gloss,Gloss_persian,Checked
18851,noun,a small ball with a hole through the middle,یک توپ کوچک با یک سوراخ از وسط ,0
18852,noun,a tubular glass or plastic bead sewn onto clothing for decoration,یک مهره لوله ای یا مهره پلاستیکی برای تزئین روی لباس دوخته شده است ,0
18853,noun,"a shape that is spherical and small; ""he studied the shapes of low-viscosity drops""; ""beads of sweat on his forehead""","شکلی کروی و کوچک است. ""او اشکال قطرات با ویسکوزیته پایین را مطالعه کرد""؛ ""دانه های عرق بر پیشانی او"" ",0
18854,noun,anything shaped like a falling drop (as a pendant gem on an earring),هر چیزی که به شکل قطره در حال سقوط است (به عنوان نگین آویز روی گوشواره) ,0
18855,noun,a drop of dew,یک قطره شبنم ,0
18856,noun,a beaded molding for edging or decorating furniture,قالب مهره ای برای لبه یا تزئین مبلمان ,0
18857,noun,beading formed with a narrow groove separating it from the surface it decorates,مهره با شیاری باریک تشکیل شده و آن را از سطحی که تزئین می کند جدا می کند ,0
17940,noun,small cask or barrel,بشکه کوچک یا بشکه ,0
18858,noun,a minor parish official who serves as an usher and preserves order at services,یک مقام رسمی کلیسای کوچک که به عنوان یک مأمور تبلیغاتی عمل می کند و نظم خدمات را حفظ می کند ,0
18859,noun,United States biologist who discovered how hereditary characteristics are transmitted by genes (1903-1989),زیست شناس ایالات متحده که کشف کرد چگونه ویژگی های ارثی توسط ژن ها منتقل می شود (1909-1989) ,0
18860,noun,a person who is paid to pray for the soul of another,شخصی که برای دعا کردن برای روح دیگری پول می گیرد ,0
18861,noun,someone who prays to God,کسی که به درگاه خداوند دعا می کند ,0
18862,noun,ornamentation with beads,تزئین با مهره ,0
18863,adjective,"small and round and shiny like a shiny bead or button; ""bright beady eyes""; ""black buttony eyes""","کوچک و گرد و براق مانند یک مهره یا دکمه براق ؛ ""چشمهای مهره ای روشن""؛ ""چشمهای دکمه دار سیاه"" ",0
18864,adjective,covered with beads or jewels or sequins,پوشیده از مهره یا جواهرات یا پولک ,0
18865,adjective,provided with something intended to increase its beauty or distinction,چیزی ارائه شده است که قصد دارد زیبایی یا تمایز آن را افزایش دهد ,0
18866,noun,a small short-legged smooth-coated breed of hound,نژاد سگ شکاری با روکش صاف و پا کوتاه ,0
18867,verb,hit lightly with a picking motion,با یک حرکت چسباندن به آرامی ضربه بزنید ,0
17941,noun,a barrel holding vinegar in which cucumbers are pickled,یک بشکه سرکه نگهدارنده که در آن خیار ترشی می خورد ,0
18868,noun,"beaklike mouth of animals other than birds (e.g., turtles)",منقار مانند دهان حیوانات غیر از پرندگان (به عنوان مثال ، لاک پشت ها) ,0
18869,noun,"the externally visible part of the oral cavity on the face and the system of organs surrounding the opening; ""she wiped lipstick from her mouth""","قسمت قابل مشاهده خارجی حفره دهان در صورت و سیستم ارگانهای اطراف دهانه ؛ ""او رژ لب را از دهان خود پاک کرد"" ",0
18870,noun,horny projecting mouth of a bird,دهان پرنده شاخی ,0
18871,noun,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,مهره داران تخمگذار خونگرم با پرها و اندام های جلویی که به صورت بال اصلاح می شوند مشخص می شود ,0
18872,noun,"the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals; ""he has a cold in the nose""","اندام بو و ورود به دستگاه تنفسی ؛ قسمت برجسته صورت انسان یا سایر پستانداران. ""او در بینی سرما خورده است"" ",0
18873,noun,a flatbottomed jar made of glass or plastic; used for chemistry,یک شیشه تخت از شیشه یا پلاستیک ساخته شده است. برای شیمی استفاده می شود ,0
18874,noun,a vessel (usually cylindrical) with a wide mouth and without handles,یک ظرف (معمولاً استوانه ای) با دهانی پهن و بدون دسته ,0
18875,noun,a cup (usually without a handle),یک فنجان (معمولاً بدون دسته) ,0
18876,noun,"a small open container usually used for drinking; usually has a handle; ""he put the cup back in the saucer""; ""the handle of the cup was missing""","یک ظرف کوچک باز که معمولاً برای آشامیدن استفاده می شود. معمولاً دسته دارد. ""او فنجان را دوباره در نعلبکی گذاشت""؛ ""دسته فنجان گم شده بود"" ",0
18877,verb,smile radiantly; express joy through one's facial expression,لبخند درخشان ؛ شادی را از طریق حالت چهره بیان کنید ,0
17942,noun,a disassembled barrel; the parts packed for storage or shipment,یک بشکه جدا شده قطعات بسته بندی شده برای ذخیره سازی یا حمل و نقل ,0
18878,verb,"change one's facial expression by spreading the lips, often to signal pleasure",تغییر حالت چهره با پخش لب ها ، اغلب برای نشان دادن لذت ,0
18879,verb,"shine hard; ""The sun beat down on the hikers""","سخت بدرخشید؛ ""خورشید بر کوهنوردان شکست"" ",0
18880,verb,"shine intensely; ""The sun glared down on us""","درخشش شدید ""خورشید به ما خیره شد"" ",0
18881,verb,"shine with a sudden light; ""The night sky flared with the massive bombardment""","با نور ناگهانی بدرخشید؛ ""آسمان شب با بمباران گسترده شعله ور شد"" ",0
18882,verb,"shine brighter than; ""What star outshines the sun?""","درخشش روشن تر از؛ ""کدام ستاره بر خورشید تابیده است؟"" ",0
18883,verb,"shine with a weak or fitful light; ""Beech leaves shimmered in the moonlight""","درخشش با نور ضعیف یا مناسب؛ ""برگ های راش در مهتاب براق می شوند"" ",0
18884,verb,"shine unsteadily; ""The candle flickered""","درخشش ناپایدار ""شمع چشمک زد"" ",0
18885,verb,"shine brightly and intensively; ""Meteors blazed across the atmosphere""","بدرخشید و به شدت ""شهاب سنگ ها در سراسر جو شعله ور شدند"" ",0
18886,verb,"emit or reflect light in a flickering manner; ""Does a constellation twinkle more brightly than a single star?""","تابش یا انعکاس نور به صورت سوسو زدن. ""آیا یک صورت فلکی از یک ستاره منفجر می شود؟"" ",0
18887,verb,"shine intensely, as if with heat; ""The coals were glowing in the dark""; ""The candles were burning""","به شدت درخشان ، مثل اینکه با گرما. ""زغال ها در تاریکی می درخشیدند""؛ ""شمع ها می سوختند"" ",0
17943,noun,a large cask especially one holding a volume equivalent to 2 butts or 252 gals,یک چنگال بزرگ مخصوصاً یک عدد که حجمی معادل 2 دکمه یا 252 گالن دارد ,0
18888,verb,"express with a beaming face or smile; ""he beamed his approval""","با صورت تابیده یا لبخند بیان کنید ""او تایید خود را پرتو کرد"" ",0
18889,verb,"experience a feeling of well-being or happiness, as from good health or an intense emotion; ""She was beaming with joy""; ""Her face radiated with happiness""","احساس سلامتی یا خوشبختی ، مانند سلامتی یا احساس شدید. ""او از شادی درخشان بود""؛ ""چهره اش از شادی تابیده شد"" ",0
18890,noun,a signal transmitted along a narrow path; guides pilots in darkness or bad weather,یک سیگنال منتقل شده در یک مسیر باریک ؛ خلبانان را در تاریکی یا هوای بد راهنمایی می کند ,0
18891,noun,support that is a constituent part of any structure or building,تکیه گاهی که جز const تشکیل دهنده هر سازه یا بنایی است ,0
18892,noun,a beam built up from boards; has a hollow rectangular cross section,پرتو ساخته شده از تخته ها ؛ دارای مقطع مستطیل توخالی است ,0
18893,noun,projecting horizontal beam fixed at one end only,پرتو افقی فقط در یک انتهای ثابت ,0
18894,noun,a beam made usually of steel; a main support in a structure,یک پرتو ساخته شده از فولاد ؛ یک پشتیبانی اصلی در یک ساختار ,0
18895,noun,"a framing member crossing and supporting the ends of joists, studs, or rafters so as to transfer their weight to parallel joists, studs, or rafters",عضو قاب بندی شده و از انتهای تیرچه ها ، گل میخ ها یا تیرچه ها پشتیبانی می کند تا وزن آنها را به تیرچه ها ، ناودانی ها یا تیرهای موازی منتقل کند ,0
18896,noun,horizontal beam used as a finishing piece over a door or window,تیر افقی به عنوان قطعه پایان دهنده در و پنجره استفاده می شود ,0
18897,noun,beam used to support floors or roofs,تیرچه ای که برای حمایت از کف یا سقف استفاده می شود ,0
17944,noun,a barrel that holds wine,بشکه ای که شراب را در خود نگه می دارد ,0
18898,noun,one of the main longitudinal beams (or plates) of the hull of a vessel; can extend vertically into the water to provide lateral stability,یکی از تیرهای اصلی طولی (یا صفحات) بدنه کشتی؛ می تواند به طور عمودی در آب امتداد یابد تا ثبات جانبی ایجاد کند ,0
18899,noun,a longitudinal beam connected to the keel of ship to strengthen it,یک پرتو طولی برای تقویت آن به فلکه کشتی متصل است ,0
18900,noun,a horizontal beam (or plate) connected to the top of a ship's vertical keel or to the keelson,یک تیر افقی (یا صفحه) متصل به بالای دریچه عمودی کشتی یا به keelson ,0
18901,noun,a beam laid along the edge where two sloping sides of a roof meet at the top; provides an attachment for the upper ends of rafters,تیرچه ای که در امتداد لبه قرار گرفته و دو طرف شیب دار سقف در بالای هم قرار می گیرند. یک پیوست برای انتهای بالایی تیرچه فراهم می کند ,0
18902,noun,a beam or timber that is propped against a structure to provide support,تیر یا چوبی که برای تأمین پشتیبانی در برابر سازه قرار گرفته است ,0
18903,noun,"a horizontal beam used to prevent two other structural members from spreading apart or separating; ""he nailed the rafters together with a tie beam""","یک پرتو افقی که برای جلوگیری از جدا شدن یا جدا شدن دو عضو سازه دیگر استفاده می شود. ""او تیرها را با یک تیر کراوات میخ زد"" ",0
18904,noun,a beam made of wood,پرتو ساخته شده از چوب ,0
18905,noun,a horizontal beam that extends across something,یک پرتو افقی که در امتداد چیزی امتداد دارد ,0
18906,noun,a column of light (as from a beacon),یک ستون نور (مانند یک چراغ راهنما) ,0
18907,noun,"(physics) electromagnetic radiation that can produce a visual sensation; ""the light was filtered through a soft glass window""","(فیزیک) تابش الکترومغناطیسی که می تواند احساس بصری ایجاد کند. ""نور از طریق یک پنجره شیشه ای نرم فیلتر شد"" ",0
17945,noun,opening in the rear of the barrel of a gun where bullets can be loaded,باز شدن در پشت لوله تفنگ که در آن می توان گلوله ها را بارگیری کرد ,0
18908,noun,a ray that produces a thermal effect,اشعه ای که اثر حرارتی ایجاد می کند ,0
18909,noun,the beam of a car's headlights that provides distant illumination,پرتوی چراغهای جلو اتومبیل که نور دور را فراهم می کند ,0
18910,noun,a ray of moonlight,پرتوی مهتاب ,0
18911,noun,a ray of sunlight,پرتوی از نور خورشید ,0
18912,noun,a beam of light generated by a laser,پرتوی نوری که توسط لیزر تولید می شود ,0
18913,noun,the beam of a car's headlights that provides illumination for a short distance,پرتو چراغهای جلو اتومبیل که روشنایی را برای مسافت کوتاه فراهم می کند ,0
18914,noun,a group of nearly parallel lines of electromagnetic radiation,گروهی از خطوط تقریباً موازی تابش الکترومغناطیسی ,0
18915,noun,radiation consisting of waves of energy associated with electric and magnetic fields resulting from the acceleration of an electric charge,تشعشع متشکل از امواج انرژی مرتبط با میدان های الکتریکی و مغناطیسی ناشی از شتاب یک بار الکتریکی ,0
18916,noun,a beam of electrons emitted by the cathode of an electrical discharge tube,پرتویی از الکترونها که توسط کاتد یک لوله تخلیه الکتریکی ساطع می شود ,0
18917,noun,a collimated flow of particles (atoms or electrons or molecules),جریان جمع شده ذرات (اتم یا الکترون یا مولکول) ,0
17946,noun,a plug used to close a hole in a barrel or flask,شاخه ای که برای بستن سوراخ در بشکه یا فلاسک استفاده می شود ,0
18918,noun,(nautical) breadth amidships,(دریایی) وسعت در میان میادین ,0
18919,noun,the extent of something from side to side,وسعت چیزی از این طرف به آن طرف ,0
18920,noun,a gymnastic apparatus used by women gymnasts,دستگاه ژیمناستیک که توسط بانوان ژیمناست استفاده می شود ,0
18921,noun,sports equipment used in gymnastic exercises,تجهیزات ورزشی مورد استفاده در تمرینات ژیمناستیک ,0
18922,adjective,"cheerful and bright; ""a beaming smile""; ""a glad May morning""","شاد و روشن؛ ""یک لبخند پرتو""؛ ""یک صبح مه خوشحالم"" ",0
18923,adjective,"being full of or promoting cheer; having or showing good spirits; ""her cheerful nature""; ""a cheerful greeting""; ""a cheerful room""; ""as cheerful as anyone confined to a hospital bed could be""","پر بودن یا تشویق کردن داشتن روحیه خوب یا نشان دادن آن ""طبیعت شاد او"" ؛ ""یک سلام شاد""؛ ""یک اتاق شاد""؛ ""به همان اندازه که هر کسی که در تخت بیمارستان باشد ، می تواند شاد باشد"" ",0
18924,adjective,"pleased and proud; ""beaming parents""","خوشحال و سربلند ""پرتوی والدین"" ",0
18925,adjective,"radiating or as if radiating light; ""the beaming sun""; ""the effulgent daffodils""; ""a radiant sunrise""; ""a refulgent sunset""","تابش یا مانند تابش نور ؛ ""خورشید تابان""؛ ""گل نرگس افشان""؛ ""یک طلوع آفتاب تابشی""؛ ""یک غروب آفتاب شاد"" ",0
18926,adjective,"broad in the beam; ""a beamy cargo ship""","پهن در پرتو؛ ""یک کشتی باری پرتو"" ",0
18927,adjective,"having great (or a certain) extent from one side to the other; ""wide roads""; ""a wide necktie""; ""wide margins""; ""three feet wide""; ""a river two miles broad""; ""broad shoulders""; ""a broad river""","داشتن دامنه بزرگ (یا معین) از این سو به آن سو. ""جاده های گسترده""؛ ""یك گردن پهن""؛ ""حاشیه های گسترده""؛ ""عرض سه پا""؛ ""رودخانه ای به وسعت دو مایل""؛ ""شانه های پهن""؛ ""یک رودخانه وسیع"" ",0
17947,noun,one of several thin slats of wood forming the sides of a barrel or bucket,یکی از چندین اسلحه نازک چوبی که کناره های یک بشکه یا سطل را تشکیل می دهد ,0
18928,verb,"hit on the head, especially with a pitched baseball",به سر ضربه بزنید ، مخصوصاً با بیس بال بیضوی ,0
18929,noun,any of various edible seeds of plants of the family Leguminosae used for food,هر یک از دانه های خوراکی مختلف گیاهان از خانواده Leguminosae که برای غذا استفاده می شود ,0
18930,noun,any of various leguminous plants grown for their edible seeds and pods,هر یک از گیاهان مختلف حبوباتی که برای بذرها و غلافهای خوراکی آنها رشد کرده است ,0
18931,noun,the seedpod of a leguminous plant (such as peas or beans or lentils),هسته دانه یک گیاه حبوبات (مانند نخود فرنگی یا لوبیا یا عدس) ,0
18932,noun,Old World tropical bean,لوبیای گرمسیری جهان قدیم ,0
18933,noun,any of numerous beans eaten either fresh or dried,هر یک از لوبیاهای متعددی که به صورت تازه یا خشک خورده می شوند ,0
18934,noun,most highly proteinaceous vegetable crop known,بیشترین محصول گیاهی دارای پروتئین شناخته شده است ,0
18935,noun,any of various seeds or fruits that are beans or resemble beans,هر یک از دانه ها یا میوه های مختلف که لوبیا هستند یا شبیه لوبیا هستند ,0
18936,noun,a small hard fruit,یک میوه کوچک سخت ,0
18937,noun,fragrant black nutlike seeds of the tonka bean tree; used in perfumes and medicines and as a substitute for vanilla,دانه های معطر سیاه دانه درخت دانه تونکا ؛ در عطرها و داروها و به عنوان جایگزین وانیل استفاده می شود ,0
17849,noun,the keeper of a public house,نگهبان یک خانه عمومی ,0
17948,noun,a plug for a bunghole in a cask,یک شاخه برای یک چاله در یک چنگال ,0
18938,noun,mesquite pod used in tanning and dying,غلاف پخته شده در برنزه کردن و مرگ ,0
18939,noun,dark brown highly poisonous seed of the calabar-bean vine; source of physostigmine and used in native witchcraft,دانه قهوه ای تیره بسیار سمی انگور کالوبار منبع فیزوستیگمین و در جادوگری بومی استفاده می شود ,0
18940,noun,twisted seed pods of the divi-divi tree; source of tannin,غلافهای بذر پیچ خورده درخت divi-divi ؛ منبع تانن ,0
18941,noun,long pod containing small beans and sweetish edible pulp; used as animal feed and source of a chocolate substitute,غلاف بلند حاوی لوبیای کوچک و تفاله خوراکی شیرین. به عنوان خوراک دام و منبع جایگزین شکلات استفاده می شود ,0
18942,noun,a source of oil; used for forage and soil improvement and as food,یک منبع روغن ؛ برای بهبود علوفه و خاک و به عنوان غذا استفاده می شود ,0
18943,noun,seed of the broad-bean plant,دانه گیاه لوبیای وسیع ,0
18944,noun,"a large family of trees, shrubs, vines, and herbs bearing bean pods; divided for convenience into the subfamilies Caesalpiniaceae; Mimosaceae; Papilionaceae",خانواده بزرگی از درختان ، بوته ها ، انگورها و گیاهانی که غلاف لوبیا دارند. برای راحتی به زیر خانواده های Caesalpiniaceae تقسیم می شوند. میموساسه Papilionaceae ,0
18945,noun,an erect or climbing bean or pea plant of the family Leguminosae,یک گیاه لوبیا یا نخود بلند و یا کوهنوردی از خانواده Leguminosae ,0
18946,noun,a bean plant whose bushy growth needs no supports,یک گیاه لوبیا که رشد بوته ای آن به هیچ گونه حمایت کننده ای نیاز ندارد ,0
18947,noun,a climbing bean plant that will climb a wall or tree or trellis,یک گیاه لوبیای کوهنوردی که از یک دیوار یا درخت یا گل مایل به کوه بالا می رود ,0
17949,noun,a bulging cylindrical shape; hollow with flat ends,یک شکل استوانه ای برجسته ؛ توخالی با انتهای صاف ,0
18948,noun,a bean plant grown primarily for its edible seed rather than its pod,یک گیاه لوبیا به جای غلاف ، بیشتر برای بذر خوراکی رشد می کند ,0
18949,noun,any of several trees having seedpods as fruits,از چندین درختی که غلاف دانه به عنوان میوه دارند ,0
18950,noun,tall tropical South American tree having pulpy egg-shaped pods of fragrant black almond-shaped seeds used for flavoring,درخت بلند و گرمسیری آمریکای جنوبی دارای غلافهای تخم مرغی شکل از تخمه های بادام سیاه معطر و مورد استفاده برای طعم دادن ,0
18951,noun,evergreen Mediterranean tree with edible pods; the biblical carob,درخت مدیترانه ای همیشه سبز با غلاف های خوراکی. خرنوب کتاب مقدس ,0
18952,noun,long-lived tropical evergreen tree with a spreading crown and feathery evergreen foliage and fragrant flowers yielding hard yellowish wood and long pods with edible chocolate-colored acidic pulp,درخت همیشه سبز گرمسیری با تاج گسترش یافته و شاخ و برگ همیشه سبز پر و گلهای معطر که چوب زرد مایل به سخت و غلاف های طولانی با تفاله اسیدی رنگ شکلات خوراکی می دهد ,0
18953,noun,Australian tree having pinnate leaves and orange-yellow flowers followed by large woody pods containing 3 or 4 seeds that resemble chestnuts; yields dark strong wood,درخت استرالیایی دارای برگهای پرچین و گلهای زرد نارنجی و به دنبال آن غلافهای چوبی بزرگ حاوی 3 یا 4 دانه که شبیه شاه بلوط هستند. چوب محکم و تیره تولید می کند ,0
18954,noun,tree of the genus Catalpa with large leaves and white flowers followed by long slender pods,درختی از تیره Catalpa با برگهای بزرگ و گلهای سفید و به دنبال آن غلافهای بلند و باریک ,0
18955,noun,a small skullcap; formerly worn by schoolboys and college freshmen,یک جمجمه کوچک قبلاً توسط بچه های مدرسه و تازه وارد دانشگاه پوشیده شده بود ,0
18956,noun,rounded brimless cap fitting the crown of the head,کلاهک بدون لبه گرد و مناسب تاج سر ,0
18957,verb,"have; ""bear a resemblance""; ""bear a signature""","دارند؛ ""شباهت داشته باشید""؛ ""یک امضا داشته باشید"" ",0
17950,noun,a surface generated by rotating a parallel line around a fixed line,سطحی که با چرخش یک خط موازی به دور یک خط ثابت ایجاد می شود ,0
18958,verb,"have on the surface or on the skin; ""carry scars""","روی سطح یا روی پوست داشته باشید. ""جای زخم"" ",0
18959,verb,"cause_to_be_born; ""My wife had twins yesterday!""","علت_به دنیا آمدن ؛ ""همسرم دیروز دوقلو داشت!"" ",0
18960,verb,"bring forth or yield; ""The tree would not produce fruit""","بیرون آوردن یا تولید کردن ""درخت میوه نمی دهد"" ",0
18961,verb,give birth to twins,دوقلو به دنیا بیاورید ,0
18962,verb,"give birth; used for animals; ""The cow dropped her calf this morning""","زایمان کردن برای حیوانات استفاده می شود ""گاو صبح امروز گوساله اش را انداخت"" ",0
18963,verb,"give birth to a foal; ""the mare foaled""","کره اسب به دنیا آورد ""مادیان از بین رفت"" ",0
18964,verb,"have kittens; ""our cat kittened again this year""","بچه گربه داشته باشید ""گربه ما امسال هم بچه گربه کرد"" ",0
18965,verb,"give birth to a lamb; ""the ewe lambed""","یک بره به دنیا بیاورید ""میش بره"" ",0
18966,verb,give birth to a litter of animals,یک بستر حیوانات به دنیا بیاورید ,0
18967,verb,"be pregnant with; ""She is bearing his child""; ""The are expecting another child in January""; ""I am carrying his child""","باردار بودن با ""او فرزندش را به دنیا می آورد""؛ ""آنها در ماه ژانویه در انتظار فرزند دیگری هستند""؛ ""من فرزند او را حمل می کنم"" ",0
17951,noun,the quantity that a barrel (of any size) will hold,مقداری که بشکه (از هر اندازه) در خود نگه می دارد ,0
18968,verb,"move while holding up or supporting; ""Bear gifts""; ""bear a heavy load""; ""bear news""; ""bearing orders""","حرکت در حالی که نگه داشتن یا حمایت ""هدایای خرس""؛ ""تحمل بار سنگین""؛ ""خبر خرس""؛ ""تحمل سفارشات"" ",0
18969,verb,"move while supporting, either in a vehicle or in one's hands or on one's body; ""You must carry your camping gear""; ""carry the suitcases to the car""; ""This train is carrying nuclear waste""; ""These pipes carry waste water into the river""","حرکت در حالی که حمایت می کنید ، یا در وسیله نقلیه یا در دستان خود یا بر روی بدن خود. ""شما باید وسایل کمپ خود را حمل کنید""؛ ""چمدان ها را به ماشین حمل کنید""؛ ""این قطار حامل زباله های هسته ای است""؛ ""این لوله ها فاضلاب را به رودخانه منتقل می کنند"" ",0
18970,verb,carry someone against his will upside down such that each limb is held by one person,شخصی را برخلاف میل خود وارونه حمل کنید به گونه ای که هر اندام توسط یک فرد نگه داشته شود ,0
18971,verb,"bring forth, ""The apple tree bore delicious apples this year""; ""The unidentified plant bore gorgeous flowers""","بیاورید ، ""درخت سیب امسال سیب های خوشمزه ای به دنیا آورد""؛ ""این گیاه ناشناخته شکوفه های زیبایی ایجاد کرد"" ",0
18972,verb,produce as a consequence or an unplanned result,به عنوان یک نتیجه یا یک نتیجه برنامه ریزی نشده تولید کنید ,0
18973,verb,bear seeds,دانه خرس ,0
18974,verb,"yield crops; ""This land crops well""","محصولات زراعی ""این زمین خوب محصول می شود"" ",0
18975,verb,bear too much,بیش از حد تحمل ,0
18976,verb,"bear fruit; ""the trees fruited early this year""","به بار نشستن ثمر دادن به ثمر رسیدن؛ ""درختان اوایل امسال بارور شدند"" ",0
18977,verb,"contain or hold; have within; ""The jar carries wine""; ""The canteen holds fresh water""; ""This can contains water""","حاوی یا نگه داشتن داشتن در؛ ""شیشه شراب حمل می کند""؛ ""غذاخوری آب شیرین دارد""؛ ""این قوطی حاوی آب است"" ",0
17952,noun,"any of various units of capacity; ""a barrel of beer is 31 gallons and a barrel of oil is 42 gallons""","هر یک از واحدهای مختلف ظرفیت. ""یک بشکه آبجو 31 گالن و یک بشکه روغن 42 گالن است"" ",0
18978,verb,"have as a part, be made up out of; ""The list includes the names of many famous writers""","به عنوان یک بخش ، ساخته شده از؛ ""این لیست شامل نام بسیاری از نویسندگان مشهور است"" ",0
18979,verb,"hold within; ""This soil retains water""; ""I retain this drug for a long time""","نگه داشتن در داخل ""این خاک آب را نگه می دارد""؛ ""من این دارو را برای مدت طولانی حفظ می کنم"" ",0
18980,verb,"be around; ""Developments surround the town""; ""The river encircles the village""","همین اطراف باش؛ ""تحولات شهر را احاطه کرده اند""؛ ""رودخانه روستا را محاصره می کند"" ",0
18981,verb,close in or confine,بستن یا محدود کردن ,0
18982,verb,"bring in; ""interest-bearing accounts""; ""How much does this savings certificate pay annually?""","آوردن ""حسابهای با بهره""؛ ""این گواهی پس انداز سالانه چقدر پرداخت می کند؟"" ",0
18983,verb,"yield as a net profit; ""This sale netted me $1 million""","عملکرد به عنوان سود خالص ؛ ""این فروش 1 میلیون دلار برای من خالص"" ",0
18984,verb,"yield a profit or result; ""His efforts finally paid off""","سود یا نتیجه دادن ""تلاش های او سرانجام نتیجه داد"" ",0
18985,noun,money that is invested with an expectation of profit,پولی که با انتظار سود سرمایه گذاری شود ,0
18986,verb,"have on one's person; ""He wore a red ribbon""; ""bear a scar""","بر شخص خود داشته باشید ""او روبان قرمز پوشید""؛ ""جای زخم"" ",0
18987,verb,"have rightfully; of rights, titles, and offices; ""She bears the title of Duchess""; ""He held the governorship for almost a decade""","به حق داشتن؛ حقوق ، عناوین و دفاتر ""او عنوان دوشس را یدک می کشد""؛ ""او تقریباً یک دهه استانداری را در دست داشت"" ",0
17953,noun,a British unit of capacity for alcoholic beverages,یک ظرفیت انگلیس برای نوشیدنی های الکلی ,0
18988,verb,"have or possess, either in a concrete or an abstract sense; ""She has $1,000 in the bank""; ""He has got two beautiful daughters""; ""She holds a Master's degree from Harvard""","داشته باشید یا داشته باشید ، یا به معنای عینی یا انتزاعی ؛ ""او 1000 دلار در بانک دارد""؛ ""او دو دختر زیبا دارد""؛ ""او دارای مدرک کارشناسی ارشد از هاروارد است"" ",0
18989,verb,"carry oneself, often habitually, with head, shoulders, and upper back bent forward; ""The old man was stooping but he could walk around without a cane""","خود را حمل کنید ، اغلب به طور عادی ، با سر ، شانه ها و قسمت فوقانی پشت خم شده به جلو. ""پیرمرد خم شده بود اما می توانست بدون عصا راه برود"" ",0
18990,verb,"support on the back and shoulders; ""He piggybacked her child so she could see the show""","پشتیبانی در پشت و شانه ها ؛ ""او فرزندش را خوک کرد تا بتواند نمایش را ببیند"" ",0
18991,noun,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws,پستانداران عظیم گوشتخوار یا همه چیزخوار با کتهای بلند پشمالو و پنجه های قوی ,0
18992,noun,bears and extinct related forms,خرس ها و اشکال مرتبط منقرض شده است ,0
18993,noun,"a terrestrial or aquatic flesh-eating mammal; ""terrestrial carnivores have four or five clawed digits on each limb""","یک پستاندار گوشتخوار خشکی یا آبزی. ""گوشتخواران خشکی روی هر اندام چهار یا پنج رقم پنجه دارند"" ",0
18994,noun,a young bear,یک خرس جوان ,0
18995,noun,large ferocious bear of Eurasia,خرس وحشی بزرگ اوراسیا ,0
18996,noun,a conventional name for a bear used in tales following usage in the old epic `Reynard the Fox',"یک نام متداول برای یک خرس است که در داستان ها به دنبال استفاده در حماسه قدیمی ""Reynard the Fox"" استفاده می شود ",0
18997,noun,brown to black North American bear; smaller and less ferocious than the brown bear,خرس قهوه ای تا سیاه آمریکای شمالی؛ کوچکتر و وحشی تر از خرس قهوه ای است ,0
